BETON01|Na|CAMELWAY|CONCRETE PUMP 01|POMPE A BETON|OK|NO
BETON02|??|ALTRAD|$01$|BETONNIERE|NO|NO
BETON03|??|CONCRETE MIXER|$02$|BETONNIERE|NO|NO
BETON04|??|CONCRETE MIXER|$03$|BETONNIERE|NO|NO
BULL01|4RC01268|CATEPILAR|D6H|BULLDOZER|OK|NO
BULL02|D8N|CATEPILAR|D8N|BULLDOZER|NO|NO
BULL03|CHSD22AAJL102278|SHANTUI|SD22|BULLDOZER|OK|NO
BULL04|12-23816|KOMATSU|D85E|BULLDOZER|OK|NO
BULL06|D8L|CATEPILAR|D8L|BULLDOZER|NO|NO
BULL07|CHSD22AAER1026025|SHANTUI|SD22|BULLDOZER|OK|NO
BULL08|effacé|KOMATSU|D85E|BULLDOZER|NO|NO
BULL09|CHSD16AAKR1054519|SHANTUI|SD16|BULLDOZER|OK|NO
CAMI01|1PG420N00521|MIXER TRUCK|MIXER TRUCK|CAMION TOUPIS|OK|NO
CAMI02|1PG420P00082|MIXER TRUCK|MIXER TRUCK|CAMION TOUPIS|OK|NO
CAMI03|20244000005|XCMG|XCMG|CAMION TOUPIS|OK|NO
CHAR01|CB10913|XCMG|ZL50GN|CHARGEUSE|OK|NO
CHAR02|CLCB05620|XCMG|ZL50GN|CHARGEUSE|OK|NO
CHAR03|XUG0050GLMCB01287|XCMG|ZL50GN|CHARGEUSE|OK|NO
CHAR04|XUG0050GHKCB09758|XCMG|ZL50GN|CHARGEUSE|OK|NO
CHAR05|A20481|KOMATSU|WA500|CHARGEUSE|OK|NO
CHAR06|XS201901105648868|KOMATSU|WA-420|CHARGEUSE|OK|NO
CHAR07|XUG00150GCLCB20285|XCMG|ZL 50GN|CHARGEUSE|OK|NO
CHAR08|XUG0760CPNCB22881|XCMG|MINI CHARGEUSE (BOB CAT) XC760K|CHARGEUSE|OK|OK
CHAR09|XU0050GERCB12901|XCMG|ZL50GN|CHARGEUSE|OK|NO
CITE01|SRCT1S7T007|SITAR|40000L|CITERNE|OK|NO
CITE03|LJRT133B7S2311272|CIMC|40 CBM ASPHALT|CITERNE|OK|NO
CMPAIR01|ITR1583107|BALMA|LT200|COMPRESSEUR A AIR|NO|NO
CMPAIR02|ITR1583109|BALMA|LT200|COMPRESSEUR A AIR|NO|NO
CMPAIR03|WMNC11110N2260098||SC40DS-2 (jaune)|COMPRESSEUR A AIR|NO|NO
COMP01|ENAR REN 650|ENAR REN 650|(MINI) ENAR REN 650 (MANUEL)|COMPACTEUR|NO|NO
COMP02|XUG02253ENJE02055|XCMG|XCMG (XS225JS)|COMPACTEUR|OK|NO
COMP03|XUG00817ANJE05649|XCMG|XCMG (MANUEL) XMR083|COMPACTEUR|OK|NO
COMP04|XUG02253ENJE02057|XCMG|XCMG (XS225JS)|COMPACTEUR|OK|NO
COMP05|JE03362|XCMG|(MANUEL)XCMG|COMPACTEUR|OK|NO
COMP06|XUG01032CLJE00106|XCMG|Tandem(Grand, Rouleau) XCMG XD103|COMPACTEUR|OK|OK
COMP07|XUG03037JNJE05183|XCMG|Tandem(PETIT, Rouleau) XCMG XMPR303|COMPACTEUR|OK|OK
COMP08|XUG02634HNJE04919|XCMG|A PNEU P4 XCMG XP236|COMPACTEUR|OK|OK
COMP09|CATCS533P5CZ00640|CATEPILAR|(Rouleau) CS-533D|COMPACTEUR|NO|OK
COMP10|J10A-10299|KOMATSU|KOMATSU (1 rouleau)|COMPACTEUR|OK|NO
COMP11|XU602033HRJE00883|XCMG|ROULEAU EN PIED DE MOUTON XCMG XS203J|COMPACTEUR|OK|NO
COMP12|2311W|BOVE|P4 BOVE (Mini) HYPSTER|COMPACTEUR|OK|NO
COMP13|XUG02233EKJE04082|XCMG|XS223JE|COMPACTEUR|OK|NO
COMP14|808253|HAMM|2222DS pied de mouton|COMPACTEUR|NO|NO
COMP15|86X00777|CATEPILAR|825C|COMPACTEUR|NO|NO
ECLR01||ENGEEN|FB-8|ECLAIREUR|NO|NO
FIN03|XUG00603PSJR00120|XCMG|RP603|FINISHER|OK|
FINI01|XUG803CCNJR00318|XCMG|XCMG RP 803|FINISHER|OK|OK
FINI02|6900733|VOEGEL|(PETIT FINISHER) VOEGEL|FINISHER|OK|NO
FOUR01|22417858|MANISCOPIC|MRT2150(MANISCOPIC)|FOURCHETTE MANITOU|OK|OK
GRAD01|XUG215D3LKDB800130|XCMG|GR215 XCMG|GRADER|OK|OK
GRAD02|ELDB00024|XCMG|GR165 XCMG|GRADER|OK|OK
GRAD03|ELDB00023|XCMG|GR165 XCMG|GRADER|OK|NO
GRAD04|89H1778|CATEPILAR|GR0112FCATEPILAR|GRADER|NO|OK
GRAD05|24A01710|FIAT ALLIS|FIAT ALLIS M65(MINI GRADER)|GRADER|OK|OK
GRAD06|93U1542|CATEPILAR|16G ( CAT )|GRADER|OK|NO
GRAD07|XU6165D2TRDB00376|XCMG|GR165 XCMG|GRADER|OK|NO
GRAD08||JONH DEERE|77OA|GRADER|NO|NO
GRELCT01|??|FG WILSON|$01$ (Blanc - Bleu)|GROUPE ELECTROGENE|NO|NO
GRELCT02|??|ASKA|AS-100|GROUPE ELECTROGENE|NO|NO
GRELCT03|??||$03$ ( Beige )|GROUPE ELECTROGENE|NO|NO
GRELCT04|??|montage|$04$ (Proche cuve )|GROUPE ELECTROGENE|NO|NO
GRUE01|E1 188725|PPM|PPM|GRUE|OK|NO
GRUE02|LFCNRG7P1T3000679|SANY||GRUE|OK|NO
PELL01|EC360BNLCV10142|VOLVO|EC360BNLC|PELLE|OK|OK
PELL02|CECAP011643|DOOSAN|DOOSAN 340LCA|PELLE|OK|OK
PELL03|XUGB210WKPKA00790|XCMG|(A PNEU) XE210WD|PELLE|OK|NO
PELL04|CEEMR00143|CATEPILAR|CATEPILAR 322C|PELLE|NO|OK
PELL05|3000LC|XCMG|3000LC|PELLE|NO|NO
PELL06|OPJ0008035|DOOSAN|DOOSAN 300LC(??A)|PELLE|OK|OK
PELL07|DE00272034|VOLVO|VOLVO (EC300)|PELLE|NO|OK
PELL08|THEDCRD0H00000592|HITACHI|AMPHIBIE(HITACHI) XAXIS220LC|PELLE|OK|OK
PELL09|CVGKA00274|XCMG|(HYDRAULIQUE)XCMG XE335C|PELLE|NO|OK
PELL10|CAT0326DLJE10006|CATEPILAR|CATEPILAR 326 2L|PELLE|OK|OK
PELL11|XUGC335CDRKA12723|XCMG|XE335C|PELLE|OK|NO
PELL12|6KM00289|CATEPILAR|320s|PELLE|OK|NO
PUMPB01|Na|CONCRETE MIXER|A2-510|BETONNIERE|OK|NO
PUMPB02|??|CAMELMAY|CONCRETE PUMP 02|POMPE A BETON|OK|NO
RECY01|XUG2103SKSJQ00032|XCMG|XLZ2103S|RECYCLEUSE|OK|
TRAC01|FAK060160|SDLG|B877F|TRACTOPELLE|NO|OK
TRAC02|LLCA00174|XCMG|XP870K|TRACTOPELLE|OK|NO
